Player,CatcherSBPercent
Jorge Alfaro,1.047542305
Alex Avila,0.946450809
Jett Bandy,1.135983963
Austin Barnes,1.060539107
Tucker Barnhart,0.769375117
Rob Brantly,1.095890411
Drew Butera,1.02739726
Victor Caratini,1.02739726
Curt Casali,0.913242009
Welington Castillo,0.698909701
Jason Castro,1.009372747
Juan Centeno,1.255707763
Francisco Cervelli,1.095890411
Robinson Chirinos,1.033011453
Willson Contreras,0.994781474
Travis d'Arnaud,1.141552511
Taylor Davis,1.369863014
Elias Diaz,0.963977676
A.J. Ellis,0.913242009
Eduardo Escobar,1
Kyle Farmer,1
Tim Federowicz,1.369863014
Tyler Flowers,1.061161489
David Freitas,0.684931507
Eric Fryer,0.856164384
Rocky Gale,1.369863014
Cam Gallagher,1.174168297
Dustin Garneau,0.821917808
Mitch Garver,1.02739726
Evan Gattis,1.229364243
Chris Gimenez,0.955718382
Yan Gomes,0.793078587
Tuffy Gosewisch,1.02739726
Yasmani Grandal,0.927291886
Juan Graterol,0.913242009
Ryan Hanigan,1.05374078
Austin Hedges,0.868223037
Chris Herrmann,0.978473581
John Hicks,0.913242009
Kyle Higashioka,1.369863014
Bryan Holaday,1.369863014
Nick Hundley,0.966962127
Chris Iannetta,1.03777501
A.J. Jimenez,1
Caleb Joseph,1.120797011
Carson Kelly,0.747198007
Andrew Knapp,1.10257267
Erik Kratz,1
Ryan Lavarnway,0.684931507
Sandy Leon,0.866648029
Jose Lobaton,1.10257267
Rafael Lopez,1.289282836
Jonathan Lucroy,1.00456621
Luke Maile,0.895679663
Martin Maldonado,0.840182648
Mike Marjama,0
Russell Martin,1.095890411
Jeff Mathis,0.788709008
Bruce Maxwell,0.988097912
Brian McCann,1.193106496
James McCann,0.963977676
Francisco Mejia,1
Devin Mesoraco,1.079286011
Yadier Molina,0.879165815
Miguel Montero,1.261143727
John Ryan Murphy,1
Tom Murphy,1.141552511
Omar Narvaez,1.047542305
Brett Nicholas,1.369863014
Tomas Nido,1.369863014
Derek Norris,1.10257267
Mike Ohlman,1.369863014
Francisco Pena,1.369863014
Carlos Perez,0.761035008
Roberto Perez,0.776255708
Salvador Perez,0.999629767
Josh Phegley,0.888559793
Manny Pina,0.882284653
Kevin Plawecki,1.104728237
Buster Posey,0.850259802
Wilson Ramos,1.135029354
Raudy Read,1.369863014
J.T. Realmuto,0.930804355
Anthony Recker,1.369863014
Rene Rivera,0.868693618
Andrew Romine,1
Austin Romine,1.228153047
Carlos Ruiz,1.050228311
Cameron Rupp,0.978473581
Jarrod Saltalamacchia,1.369863014
Gary Sanchez,0.844748858
Hector Sanchez,1.095890411
Kyle Schwarber,1
Pedro Severino,0.821917808
Chance Sisco,1.369863014
Kevan Smith,1.198630137
Geovany Soto,1.217656012
Jacob Stallings,1.141552511
Max Stassi,0.913242009
Chris Stewart,1.056751468
Jesus Sucre,1.001053741
Andrew Susac,1
Kurt Suzuki,1.04607721
Blake Swihart,1.369863014
Tomas Telis,1.369863014
Luis Torrens,1.009372747
Stuart Turner,1.076320939
Christian Vazquez,0.794520548
Stephen Vogt,1.174168297
Chad Wallach,1.369863014
Matt Wieters,1.02739726
Tony Wolters,0.837138508
Mike Zunino,1.041867644
