,Team,BattingNumber,Player,Hand,Position
45,Dodgers,1,Chris Taylor,R,8
45,Dodgers,2,Justin Turner,R,5
45,Dodgers,3,Cody Bellinger,L,3
45,Dodgers,4,Yasiel Puig,R,9
45,Dodgers,5,Enrique Hernandez,R,7
45,Dodgers,6,Corey Seager,L,6
45,Dodgers,7,Logan Forsythe,R,4
45,Dodgers,8,Austin Barnes,R,2
45,Dodgers,9,Joc Pederson,L,1
145,Yankees,1,Brett Gardner,L,7
146,Yankees,2,Aaron Judge,R,9
147,Yankees,3,Gary Sanchez,R,2
148,Yankees,4,Didi Gregorius,L,6
149,Yankees,5,Starlin Castro,R,4
150,Yankees,6,Aaron Hicks,S,8
151,Yankees,7,Greg Bird,L,3
152,Yankees,8,Todd Frazier,R,5
153,Yankees,9,Chase Headley,S,1
154,Angels,1,Jose Altuve,R,6
153,Twins,1,Brian Dozier,R,4
153,Twins,2,Joe Mauer,L,1
153,Twins,3,Jorge Polanco,S,6
153,Twins,4,Eddie Rosario,L,7
153,Twins,5,Byron Buxton,R,8
153,Twins,6,Max Kepler,L,9
153,Twins,7,Eduado Escobar,S,5
153,Twins,8,Kennys Vargas,S,3
153,Twins,9,Jason Castro,L,2
153,Cardinals,1,Matt Carpenter,L,5
153,Cardinals,2,Tommy Pham,R,7
153,Cardinals,3,Paul DeJong,R,6
153,Cardinals,4,Jose Martinez,R,3
153,Cardinals,5,Yadier Molina,R,2
153,Cardinals,6,Stephen Piscotty,R,9
153,Cardinals,7,Kolten Wong,S,4
153,Cardinals,8,Greg Garcia,L,8
153,Cardinals,9,Jedd Gyorko,R,1
153,Cubs,1,Ben Zobrist,S,4
153,Cubs,2,Kris Bryant,R,5
153,Cubs,3,Anthony Rizzo,L,3
153,Cubs,4,Wilson Contreras,R,2
153,Cubs,5,Kyle Schwarber,L,7
153,Cubs,6,Jon Jay,L,8
153,Cubs,7,Jason Heyward,L,9
153,Cubs,8,Javier Baez,R,6
153,Cubs,9,Ian Happ,S,1
153,As,1,Matt Joyce,L,7
153,As,2,Marcus Semien,R,6
153,As,3,Jed Lowrie,S,4
153,As,4,Matt Olsen,L,3
153,As,5,Ryon Healy,R,1
153,As,6,Bruce Maxwell,L,2
153,As,7,Matt Chapman,R,5
153,As,8,Chad Pinder,R,8
153,As,9,Khris Davis,R,9
153,Phillies,1,Cesar Hernandez,S,4
153,Phillies,2,Odubel Herrera,L,8
153,Phillies,3,Aaron Altherr,R,7
153,Phillies,4,Rhys Hoskins,R,3
153,Phillies,5,Nick Williams,L,9
153,Phillies,6,Maikel Franco,R,5
153,Phillies,7,Andrew Knapp,S,2
153,Phillies,8,Tommy Joseph,R,1
153,Phillies,9,Howie Kendrick,R,6
153,WhiteSox,1,Yolmer Sanchez,S,5
153,WhiteSox,2,Yoan Moncada,S,4
153,WhiteSox,3,Jose Abreu,R,3
153,WhiteSox,4,Avisail Garcia,R,9
153,WhiteSox,5,Nicky Delmonico,L,7
153,WhiteSox,6,Matt Davidson,R,1
153,WhiteSox,7,Tim Anderson,R,6
153,WhiteSox,8,Kevan Smith,R,2
153,WhiteSox,9,Adam Engel,R,8
153,Tigers,1,Ian Kinsler,R,4
153,Tigers,2,Alex Presley,L,7
153,Tigers,3,Miguel Cabrera,R,3
153,Tigers,4,Nick Castellanos,R,9
153,Tigers,5,Justin Upton,R,5
153,Tigers,6,James McCann,R,2
153,Tigers,7,Victor Martinez,S,8
153,Tigers,8,Mikie Mahtook,R,1
153,Tigers,9,Jose Iglesias,R,6
153,Pirates,1,Adam Frazier,L,4
153,Pirates,2,Josh Harrison,R,7
153,Pirates,3,Andrew McCutchen,R,8
153,Pirates,4,Josh Bell,S,3
153,Pirates,5,David Freese,R,5
153,Pirates,6,Gregory Polanco,L,9
153,Pirates,7,Elias Diaz,R,2
153,Pirates,8,Starling Marte,R,6
153,Pirates,9,Jordy Mercer,R,1
153,Reds,1,Jesse Winker,L,9
153,Reds,2,Zach Cozart,R,6
153,Reds,3,Joey Votto,L,3
153,Reds,4,Eugenio Suarez,R,5
153,Reds,5,Scott Schebler,L,8
153,Reds,6,Adam Duvall,R,7
153,Reds,7,Jose Peraza,R,4
153,Reds,8,Tucker Barnhart,L,2
153,Reds,9,Billy Hamilton,S,1
